,qid,label,description,wikipedia_url,latitude,longitude,admin_location,Location,Park section,Coordinates,Status,Opening date,Cost,Replaced,Type,Manufacturer,Model,Lift/launch system,Height,Drop,Length,Speed,Inversions,Duration,Capacity,G-force,Restraint style,Height restriction,Trains,Slogan,Designer,Max vertical angle,Website,Opened,Owner,Operating season,Area,Total,Roller coasters,Water rides,Closing date,Soft opening date,Opening date,Closing date,Replaced by,Operated by,Attendance,Track layout,General manager,Theme,First manufactured,Locations,Built,Architect,NRHP referenceNo.,Added to NRHP,Designated NHL,Attraction type,Vehicles,Riders per vehicle,Hangul,Hanja,RR,MR,Name,Park section,Sponsor,Music,Replaced by,1st Launch,2nd Launch,No.of installations,G force,Rows,Riders per row,Restraint Style,Other rides,,Acceleration,Maximum Height,Vehicle,Tunnel Length,Vehicle type,Closed,Physical Length,Total length Traversed,Sponsors,Current Theme,Layout,Launches,Original manufacturer,Redesigned by,Tagline,Restraints,Official Website,Shows,Pre-show hosts,Animatronics,Track layout,Designated,Reference no.,Architectural style,CHISLNo.,SDHLNo.,Designated SDHL,Part of,Part of,Designated NHLDCP,Height Restriction,Builders,Born,Died,Occupation,Known for,Date,Deaths,Injuries,Site Area,Ride hosts,Age restriction,Handicapped persons,Restraint,Trains Per Track,Cars,Trains built by,Hosts,Audio-animatronics,Date opened,Subcontractor,Public transit,Park president,Totalmass,Builtbase area,Queue host,Ride host,Host,Tracks,Former location,Previous name,Loop Heights,Former names,Sponsored by,Original area,Relocated,Pre-ride host,Admission,Lift System #1,Lift System #2,Height restriction (Sit-down train),Height restriction (Stand-up train),Elevation change
10,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Q586556,Vogel Rok,"roller coaster at Efteling in Kaatsheuvel, Netherlands",https://en.wikipedia.org/wiki/Vogel%20Rok,,,Q9850,Efteling,Reizenrijk,51°39′08″N5°03′09″E﻿ / ﻿51.65222°N 5.05250°E﻿ /51.65222; 5.05250,Operating,"April 9, 1998",€ 12 million,,Steel–Enclosed,Vekoma,Custom MK-900,tyre-driven lift-hill,82 ft (25 m),62 ft (19 m),"2,296 ft (700 m)",40 mph (64 km/h),0,1:41,1600 riders per hour,3.5,,47.3 in (120 cm),,,Ton van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Q610172,Euthanasia Coaster,proposed roller coaster designed to kill its passengers,https://en.wikipedia.org/wiki/Euthanasia%20Coaster,,,,,,,,,,,Steel,,Exa coaster,Cable lift hill,"500 m (1,600 ft)",,"7,544 m (24,751 ft)",360 km/h (220 mph),7,3:20,,10,,,,,Julijonas Urbonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Q690302,Vilda Musen,amusement ride,https://en.wikipedia.org/wiki/Vildare%20Musen,59.323077,18.095464,,Gröna Lund,,59°19′23″N18°05′44″E﻿ / ﻿59.32306°N 18.09556°E﻿ /59.32306; 18.09556,Closed,18 April 2003,,,Steel,Gerstlauer,Bobsled Coaster (Custom),,68.11 ft (20.76 m),,"1,410.9 ft (430.0 m)",34.2 mph (55.0 km/h),0,1:34,800 riders per hour,,,,,,"Werner Stengel, Wendelin Stückl",40°,Official site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Q690302,Vilda Musen,amusement ride,https://en.wikipedia.org/wiki/Vildare%20Musen,59.323077,18.095464,,Gröna Lund,,59°19′23″N18°05′44″E﻿ / ﻿59.32306°N 18.09556°E﻿ /59.32306; 18.09556,Closed,18 April 2003,,,Steel,Gerstlauer,Bobsled Coaster (Custom),,68.11 ft (20.76 m),,"1,410.9 ft (430.0 m)",34.2 mph (55.0 km/h),0,1:34,800 riders per hour,,,,,,"Werner Stengel, Wendelin Stückl",40°,Official site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Q690302,Vilda Musen,amusement ride,https://en.wikipedia.org/wiki/Vildare%20Musen,59.323077,18.095464,,Gröna Lund,,59°19′23″N18°05′44″E﻿ / ﻿59.32306°N 18.09556°E﻿ /59.32306; 18.09556,Closed,18 April 2003,,,Steel,Gerstlauer,Bobsled Coaster (Custom),,68.11 ft (20.76 m),,"1,410.9 ft (430.0 m)",34.2 mph (55.0 km/h),0,1:34,800 riders per hour,,,,,,"Werner Stengel, Wendelin Stückl",40°,Official site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Q690302,Vilda Musen,amusement ride,https://en.wikipedia.org/wiki/Vildare%20Musen,59.323077,18.095464,,Gröna Lund,,59°19′23″N18°05′44″E﻿ / ﻿59.32306°N 18.09556°E﻿ /59.32306; 18.09556,Closed,18 April 2003,,,Steel,Gerstlauer,Bobsled Coaster (Custom),,68.11 ft (20.76 m),,"1,410.9 ft (430.0 m)",34.2 mph (55.0 km/h),0,1:34,800 riders per hour,,,,,,"Werner Stengel, Wendelin Stückl",40°,Official site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Q756682,Atlantis Adventure,architectural structure,https://en.wikipedia.org/wiki/Atlantis%20Adventure,,,,Lotte World,,37°30′31.1″N127°05′58.3″E﻿ / ﻿37.508639°N 127.099528°E﻿ /37.508639; 127.099528,Operating,2003,,,Steel,Intamin,Aqua Trax,,72.2 ft (22.0 m),,"2,198.1 ft (670.0 m)",46.6 mph (75.0 km/h),0,1:48,,3.8,,,a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,,,72°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Q787635,Thundercoaster,"wooden roller coaster at TusenFryd, Norway",https://en.wikipedia.org/wiki/Thundercoaster%20%28TusenFryd%29,59.74723889,10.77726389,,TusenFryd,,59°44′50″N10°46′38″E﻿ / ﻿59.7472°N 10.7773°E﻿ /59.7472; 10.7773,Operating,1 May 2001(2001-05-01),,,Wood,Vekoma,,Chainlift hill,,32 m (105 ft),"950 m (3,120 ft)",93 km/h (58 mph),0,2:00,,2.3,,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,57.3°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Q822344,Hollywood Dream – The Ride,amusement ride,https://en.wikipedia.org/wiki/Hollywood%20Dream%20%E2%80%93%20The%20Ride,34.66655,135.433808,,Universal Studios Japan,Hollywood,34°40′00″N135°26′02″E﻿ / ﻿34.66655°N 135.433808°E﻿ /34.66655; 135.433808,Operating,9 March 2007(2007-03-09),$50 million[1],,Steel,Bolliger & Mabillard,Hyper Coaster,Chain lift hill,44 m (144 ft),43 m (141 ft),"1,200 m (3,900 ft)",90 km/h (56 mph),0,2:31,,,,132 cm (4 ft 4 in),5 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,,Universal Creative,50°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Q826726,Tornado,"roller coaster at Särkänniemi in Tampere, Finland",https://en.wikipedia.org/wiki/Tornado%20%28S%C3%A4rk%C3%A4nniemi%29,61.50590556,23.74429722,,"Tampereen Särkänniemi Oy,33230Tampere, Finland",,61°30′19″N023°44′38″E﻿ / ﻿61.50528°N 23.74389°E﻿ /61.50528; 23.74389,Operating,,,,,,,,,,,,,,,,,,,"""Särkänniemeen, Särkänniemeen""",,,www.sarkanniemi.fi,"May 1, 1975; 51 years ago(1975-05-01)[1][2]",City of Tampere,April to October (rides area) /throughout the year,"50,000 m2(rides area)",29,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Q836926,Jetline,"amusement ride at Gröna Lund in Stockholm, Sweden",https://en.wikipedia.org/wiki/Jetline%20%28roller%20coaster%29,59.32305556,18.09555556,,Gröna Lund,,59°19′23″N18°05′44″E﻿ / ﻿59.32306°N 18.09556°E﻿ /59.32306; 18.09556,Removed,23 April 1988,,,Steel,Zierer,,,105 ft (32 m),,"2,624.8 ft (800.0 m)",55.9 mph (90.0 km/h),0,1:30,"1,300 riders per hour",4.5,,,,,Werner Stengel,80°,,,,,,,,,25 June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Q874106,Pegasus,"roller coaster in the Europa Park in Rust, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Q951739,Insane,"steel roller coaster in Stockholm, Sweden",https://en.wikipedia.org/wiki/Insane%20%28Gr%C3%B6na%20Lund%29,59.323333333333,18.095277777778,,Gröna Lund,,59°19′24″N18°5′43″E﻿ / ﻿59.32333°N 18.09528°E﻿ /59.32333; 18.09528,Operating,25 April 2009,,,Steel–4th Dimension,Intamin,ZacSpin,,35.5 m (116 ft),,"320 m (1,050 ft)",60 km/h (37 mph),,,,3.5,,55 in (140 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Q971592,Storm Chaser,amusement ride,https://en.wikipedia.org/wiki/Wind%20Chaser,38.1958,-85.7503,,Kentucky Kingdom,Discovery Meadow,38°11′45″N85°45′01″W﻿ / ﻿38.1958°N 85.7503°W﻿ /38.1958; -85.7503,Operating,"April 30, 2016(2016-04-30)",$10 million,Twisted Twins,Steel,Rocky Mountain Construction,I-Box – Custom,Chain lift hill,100 ft (30 m),,"2,744 ft (836 m)",52 mph (84 km/h),3,1:40,960 riders per hour,3.8,,48 in (122 cm),2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,Alan Schilke,78°,,,,,,,,,,"April 28, 2016(2016-04-28)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Q1004335,Bullet,roller coaster,,,,Q280506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Q1028778,,,,48.5291,12.6356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Q1104428,Coaster Express,architectural structure,,40.22743056,-3.59534444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Q1186421,Demon,roller coaster in California's Great America,,37.39434167,-121.97406944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Q1218623,,architectural structure,,50.157982,7.161997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Q1272282,,roller coaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Q1283422,Orphan Rocker,,,-33.72901667,150.30136389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Q1385492,Extreme Rusher,,,39.865245,116.489545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Q1385523,Indy-Blitz,"roller coaster in Heide Park Resort, Soltau, Germany",,53.0232,9.87691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
